Year,GDPJ,OGDPJ,GDPUS,OGDPUS,OPUBJ,OPRIJ,OPUBUS,OPRIUS
1960,,17070.92578,,541.9885862,870.7,1637.1,36.003,86.477
1961,12.04353641,20616.03294,2.3,561.9403103,1154.4,2187.4,39.897,86.584
1962,8.908972996,23395.62871,6.1,603.6394138,1506.1,2271.1,42.597,96.977
1963,8.473642383,26776.54246,4.4,637.0585517,1733.6,2764.3,44.438,103.284
1964,11.6767082,31496.61269,5.8,684.1446207,1936.9,3538.1,46.392,112.15
1965,5.819707873,35041.71874,6.4,741.9048621,2287.9,3665.2,47.863,129.645
1966,10.63856156,40696.8423,6.5,813.0327586,2620.6,4161.4,53.567,144.188
1967,11.08214232,47691.22112,2.5,859.6200345,2984.6,5508.2,57.668,142.7
1968,12.88246814,56483.09883,4.8,940.225,3520.1,6671.4,59.246,156.923
1969,12.47789451,66347.58287,3.1,1017.438172,4066.2,8458.9,59.547,173.562
1970,0.399050645,78200.51498,0.216606498,1073.303,4943.7,9690.4,59.796,170.049
1971,4.698992042,86043.70304,3.292722455,1164.85,6210.2,10466.6,58.509,196.824
1972,8.413547255,98511.00499,5.255501951,1279.11,7621.8,13840.7,60.691,228.14
1973,8.032599975,119945.5908,5.645679766,1425.376,8677.2,19990.1,65.64,266.925
1974,-1.225239828,143130.8786,-0.540550187,1545.243,10449.8,18944.6,76.166,274.526
1975,3.091575916,158146.6143,-0.205619193,1684.904,11859.7,19764.4,84.403,257.253
1976,3.974984091,177600.5184,5.388033896,1873.412,12213.5,21983,89.645,323.224
1977,4.39033795,197910.4753,4.624186517,2081.826,15051.3,23747.3,93.162,396.613
1978,5.271941503,217935.8632,5.535206478,2351.599,17581.2,25104.8,105.567,478.377
1979,5.484041832,236213.2144,3.165988229,2627.333,18781,29140.9,120.097,539.657
1980,2.817591208,256075.9,-0.256775732,2857.307,19619.2,29856.1,135.948,530.098
1981,4.260624493,274615.9,2.537701267,3207.041,20296.6,29923.2,147.34,631.229
1982,3.279742743,288613,-1.803013788,3343.789,20273.2,29795.7,156.944,581.034
1983,3.630198572,301844.1,4.583790986,3634.038,19901.4,27697.4,171.164,637.518
1984,4.410880154,319663.6,7.236453159,4037.613,19468.6,29078.6,193.182,820.089
1985,5.159807905,340395.3,4.169575347,4338.979,19352.9,30611.6,219.876,829.65
1986,3.294047613,357276.1,3.462655053,4579.631,20777,32786.1,238.087,849.146
1987,4.648861398,373273,3.454629665,4855.215,22578.7,38947,254.637,892.176
1988,6.661636522,400566.9,4.176982398,5236.438,23363.4,43292.1,258.401,936.963
1989,4.925785413,428994.1,3.672237836,5641.58,24281.3,48833.3,270.433,999.701
1990,4.840929057,461295.1,1.885965585,5963.144,25748,55691.5,290.37,993.448
1991,3.523357235,491418.9,-0.108312889,6158.129,28656.5,53747.1,294.094,944.344
1992,0.900586066,504161.2,3.522497184,6520.327,32334.3,51636.5,296.117,1013.006
1993,-0.459219716,504497.8,2.751795862,6858.559,34208.3,47485,291.883,1106.826
1994,1.083383174,510916.1,4.029022729,7287.236,33254.7,45497.6,294.173,1256.484
1995,2.630999616,521613.5,2.684430735,7639.749,35198.6,43818.2,307.688,1317.489
1996,3.133870993,535562.1,3.772772686,8073.122,34577.5,48230.2,319.959,1432.055
1997,0.981228732,543545.4,4.447127942,8577.552,32964.2,42226.3,326.605,1595.6
1998,-1.270330495,536497.4,4.483133346,9062.817,33993,37433.9,344.001,1736.671
1999,-0.333929958,528069.9,4.788425053,9631.172,31937.9,36566,368.478,1887.059
2000,2.764647551,535417.7,4.077585758,10250.952,29960.1,36234.7,388.85,2038.408
2001,0.386103426,531653.9,0.955538346,10581.929,28193.1,33094.4,411.883,1934.842
2002,0.041962499,524478.7,1.700447324,10929.108,25917.4,30922.7,443.676,1930.417
2003,1.535125499,523968.6,2.795605966,11456.45,23450.9,30237.1,464.221,2027.056
2004,2.186115694,529400.9,3.847771692,12217.196,20828.2,31996.4,486.204,2281.253
2005,1.803900872,532515.6,3.483549938,13039.197,18973.8,32593.8,513.286,2534.72
2006,1.372350128,535170.2,2.784539639,13815.583,17796.5,33531.6,550.893,2700.954
2007,1.483969412,539281.7,2.003858298,14474.228,16946.3,30749.8,592.024,2673.011
2008,-1.224289001,527823.8,0.113587248,14769.862,16717.7,31434,629.595,2477.613
